siteservice,facilityid,new facilityid,uniformdatacode
UIS01,FIECH_A_18_12_W,FIECH_A_18_12_PT5,D_RCAT
UIS01,FIECH_A_18_13_W,FIECH_A_18_13_PT5,D_RCAT
UIS01,FIRE_A_20_18_W,FIRE_A_20_18_PT5,D_RCAT
UIS01,FIRE_A_20_29_W,FIRE_A_20_29_PT5,D_RCAT
UIS01,FIRE_A_20_3_W,FIRE_A_20_3_PT5,D_RCAT
UIS01,FIRE_A_20_4_W,FIRE_A_20_4_PT5,D_RCAT
UIS01,FIRE_B_20_2_W,FIRE_B_20_2_PT5,D_RCAT
UIS01,FIRE_B_20_7_W,FIRE_B_20_7_PT5,D_RCAT
UIS01,FIRE_B_20_8_W,FIRE_B_20_8_PT5,D_RCAT
UIS01,FIRE_B_W1_W,FIRE_B_W1_PT5,D_RCAT
UIS01,FRAN_A_10_31_W,FRAN_A_10_31_PT5,D_RCAT
UIS01,FRAN_A_15_31_W,FRAN_A_15_31_PT5,D_RCAT
UIS01,FRAN_A_16_31_W,FRAN_A_16_31_PT5,D_RCAT
UIS01,FRAN_A_20_31_W,FRAN_A_20_31_PT5,D_RCAT
UIS01,FRAN_A_9_31_W,FRAN_A_9_31_PT5,D_RCAT
UIS01,FRENCH_A_1_6_W,FRENCH_A_1_6_PT5,D_RCAT
UIS01,FRENCH_A_2_6_W,FRENCH_A_2_6_PT5,D_RCAT
UIS01,FSV_C_14_9_W,FSV_C_14_9_PT5,D_RCAT
UIS01,FSV_C_W3_W,FSV_C_W3_PT5,D_RCAT
UIS01,FSV_H_21_W,FSV_H_21_PT5,D_RCAT
UIS01,FSV_I_5Y_W,FSV_I_5Y_PT5,D_RCAT
UIS01,FSV_I_9_W,FSV_I_9_PT5,D_RCAT
UIS01,FSV_M_2_W,FSV_M_2_PT5,D_RCAT
UIS01,FSV_Q_11_3_W,FSV_Q_11_3_PT5,D_RCAT
UIS01,FSV_Q_W1_W,FSV_Q_W1_PT5,D_RCAT
UIS01,FSV_Q_WA1_W,FSV_Q_WA1_PT5,D_RCAT
UIS01,GOOD_A_15N_A6_W,GOOD_A_15N_A6_PT5,D_RCAT
UIS01,GOOD_A_15N_B6_W,GOOD_A_15N_B6_PT5,D_RCAT
UIS01,GOOD_A_16N_A6_W,GOOD_A_16N_A6_PT5,D_RCAT
UIS01,GOOD_A_16N_B6_W,GOOD_A_16N_B6_PT5,D_RCAT
UIS01,GOOD_A_36N_A6_W,GOOD_A_36N_A6_PT5,D_RCAT
UIS01,GOOD_A_36N_B6_W,GOOD_A_36N_B6_PT5,D_RCAT
UIS01,GOOD_A_37N_A6_W,GOOD_A_37N_A6_PT5,D_RCAT
UIS01,GOOD_A_37N_B6_W,GOOD_A_37N_B6_PT5,D_RCAT
UIS01,GOOD_A_37N_C6_W,GOOD_A_37N_C6_PT5,D_RCAT
UIS01,GOOD_A_38N_A6_W,GOOD_A_38N_A6_PT5,D_RCAT
UIS01,GOOD_A_38N_B6_W,GOOD_A_38N_B6_PT5,D_RCAT
UIS01,GOOD_A_44_7_W,GOOD_A_44_7_PT5,D_RCAT
UIS01,GOOD_A_7_15_W,GOOD_A_7_15_PT5,D_RCAT
UIS01,GREEN_I_1C_8_W,GREEN_I_1C_8_PT5,D_RCAT
UIS01,GREEN_I_1N_8_W,GREEN_I_1N_8_PT5,D_RCAT
UIS01,GREEN_I_2C_8_W,GREEN_I_2C_8_PT5,D_RCAT
UIS01,GREEN_I_2N_8_W,GREEN_I_2N_8_PT5,D_RCAT
UIS01,GREEN_I_3N_8_W,GREEN_I_3N_8_PT5,D_RCAT
